#{"t_start": 1781274368.4905734, "env_id": "None"}
r,l,t
-30.0,1,2.608002
-17.89,6,2.632258
-30.15,6,2.632258
-30.01,2,2.642758
-17.830002,10,2.65101
-30.1,16,2.675791
-30.07,18,2.714978
-17.41,28,2.724971
-29.57,18,2.748057
-30.06,2,2.756428
-29.8,43,2.786561
-30.1,41,2.804534
-29.33,47,2.810686
-30.06,2,2.816105
-30.06,2,2.821718
-17.189999,56,2.846206
-29.64,30,2.85523
-30.06,12,2.873056
-29.89,10,2.891801
-29.43,59,2.904406
-29.95,6,2.918949
-29.84,25,2.929037
-30.11,7,2.937532
-30.04,5,2.959308
-29.8,11,2.976565
-29.24,52,3.017036
-29.6,21,3.047621
-29.58,54,3.089149
-29.47,48,3.124634
-28.32,97,3.144049
-29.94,40,3.152429
-29.97,3,3.165405
-29.05,76,3.207559
-16.7,102,3.207559
-29.82,18,3.207559
-29.85,6,3.235277
-29.68,49,3.235277
-29.67,31,3.280161
-29.46,47,3.301538
-30.0,16,3.307049
-29.88,22,3.307049
-29.91,22,3.332953
-30.0,6,3.332953
-29.92,13,3.338864
-30.0,1,3.338864
-29.33,44,3.360915
-30.04,5,3.385379
-29.82,13,3.394375
-29.88,14,3.404838
-17.95,7,3.426984
-30.01,7,3.435482
-28.75,91,3.457723
-29.89,35,3.466867
-29.74,15,3.499879
-29.95,31,3.521246
-29.99,15,3.531878
-29.34,45,3.541101
-29.8,21,3.550742
-29.57,48,3.63004
-29.34,83,3.666498
-30.08,9,3.6713
-28.13,105,3.6713
-29.78,34,3.67766
-30.06,2,3.683488
-29.64,45,3.719786
-29.06,41,3.719786
-30.11,12,3.725899
-29.56,57,3.752416
-29.81,32,3.824154
-29.84,25,3.829226
-29.57,29,3.847402
-30.12,8,3.866621
-29.62,18,3.904543
-29.59,41,3.904543
-29.73,39,3.921406
-29.89,20,3.990208
-29.73,42,4.030762
-28.09,111,4.036393
-17.86,8,4.069949
-29.279999,89,4.069949
-30.01,2,4.07802
-29.76,28,4.109842
-29.21,50,4.118735
-29.98,9,4.148931
-29.89,55,4.159103
-28.67,68,4.159103
-27.77,116,4.181012
-29.83,9,4.196598
-29.53,39,4.196598
-29.9,31,4.248618
-29.82,44,4.253985
-30.0,1,4.258123
-29.77,32,4.282397
-30.06,7,4.286986
-30.02,8,4.319724
-29.94,20,4.334339
-29.4,46,4.37077
-29.63,24,4.383373
-17.350002,47,4.391979
-30.09,5,4.391979
-28.71,48,4.396789
-30.08,9,4.433389
-29.94,10,4.474401
-28.96,38,4.479315
-29.6,41,4.550569
-29.15,96,4.555327
-28.6,116,4.562148
-29.46,42,4.567286
-29.03,59,4.580365
-30.05,6,4.585651
-29.93,9,4.603398
-29.08,50,4.603398
-29.92,13,4.612803
-29.95,16,4.640041
-29.77,13,4.661911
-29.52,43,4.666904
-29.97,13,4.672033
-29.79,25,4.693866
-29.91,7,4.693866
-29.4,51,4.699714
-29.95,11,4.716528
-30.0,1,4.7211
-30.01,2,4.729539
-29.89,20,4.729539
-29.83,34,4.737996
-29.21,37,4.765489
-29.66,27,4.784167
-29.8,16,4.792831
-29.76,32,4.82537
-18.080002,10,42.210453
-29.64,25,42.259532
-29.35,44,42.285945
-29.79,55,42.289572
-29.58,49,42.298632
-28.689999,64,42.327354
-30.07,33,42.33539
-29.79,23,42.419576
-29.43,59,42.423573
-29.22,48,42.441124
-17.990002,6,42.464102
-17.28,50,42.515191
-30.0,1,42.519184
-29.32,63,42.533905
-29.05,104,42.538961
-29.89,20,42.538961
-29.59,35,42.559223
-29.13,74,42.571527
-30.03,9,42.576652
-29.25,46,42.599506
-30.02,8,42.603614
-30.0,6,42.623441
-28.9,91,42.635062
-29.55,26,42.639199
-30.01,7,42.66524
-29.77,23,42.66524
-29.82,38,42.705838
-29.79,15,42.720327
-29.84,20,42.739307
-29.81,32,42.743306
-29.84,10,42.758548
-29.87,8,42.770149
-49.91,44,42.770149
-29.87,18,42.776151
-30.04,5,42.780298
-30.07,3,42.792311
-28.94,70,42.812612
-29.93,24,42.839449
-28.96,83,42.844233
-29.83,19,42.853582
-3.8199997,64,42.88635
-29.86,25,42.895024
-17.880001,10,42.939208
-29.85,26,42.956824
-17.14,46,43.004541
-29.26,57,43.009272
-29.96,17,43.009272
-49.96,38,43.014872
-29.58,62,43.031488
-30.05,6,43.036683
-30.04,5,43.056947
-29.99,10,43.056947
-29.92,13,43.062488
-29.1,53,43.068187
-30.07,29,43.080571
-29.94,5,43.080571
-29.81,17,43.105568
-30.01,7,43.111746
-29.14,55,43.123677
-29.42,23,43.16037
-29.64,25,43.186992
-30.01,12,43.212281
-29.74,39,43.233069
-29.68,14,43.288918
-3.58,68,43.385174
-28.87,91,43.4328
-29.42,78,43.441443
-28.64,59,43.45156
-29.71,67,43.460072
-30.05,109,43.465115
-30.12,8,43.480254
-29.96,7,43.486256
-49.25,47,43.486256
-30.03,4,43.502695
-17.670002,14,43.524198
-29.72,33,43.528326
-29.87,18,43.546227
-30.0,1,43.551444
-29.74,24,43.584643
-30.06,2,43.593176
-17.27,44,43.625693
-28.43,123,43.625693
-29.74,30,43.630806
-29.89,20,43.635805
-30.0,1,43.640312
-30.07,8,43.660593
-29.97,23,43.689423
-29.66,47,43.725448
-29.77,26,43.767164
-30.06,37,43.78021
-29.6,41,43.801039
-30.02,8,43.813991
-29.84,25,43.830088
-29.99,10,43.844087
-17.230003,50,43.849144
-29.73,19,43.849144
-28.52,90,43.867007
-30.0,1,43.87273
-30.0,16,43.885011
-30.0,6,43.899905
-29.539999,55,43.925644
-30.02,28,43.956749
-28.56,102,43.961848
-30.0,16,43.970118
-29.52,33,43.996634
-29.5,41,44.028455
-30.03,14,44.028455
-30.24,15,44.090789
-30.06,2,44.099807
-29.68,34,44.099807
-29.07,59,44.099807
-29.98,4,44.117917
-29.14,60,44.142553
-29.74,35,44.142553
-30.05,71,44.225863
-29.72,32,44.234448
-29.81,32,44.25071
-29.619999,53,44.25071
-29.32,33,44.278593
-3.6799927,78,44.288615
-29.68,14,77.759171
-29.369999,28,77.874802
-29.05,71,77.887459
-17.100002,62,77.940602
-30.0,1,77.945744
-29.86,17,77.958125
-29.38,54,77.96327
-27.789999,102,77.976641
-30.03,4,77.993866
-18.030003,20,78.032631
-4.119999,89,78.048918
-29.71,23,78.058056
-28.77,82,78.075433
-29.9,31,78.09712
-29.74,105,78.143406
-29.57,38,78.156728
-30.01,22,78.169645
-29.97,18,78.175591
-30.07,8,78.19285
-17.52,34,78.20547
