#{"t_start": 1781271230.8729455, "env_id": "None"}
r,l,t
-30.0,1,2.287828
-30.02,3,2.295994
-29.88,9,2.316657
-29.44,20,2.35209
-29.72,28,2.377952
-17.360003,35,2.400619
-29.72,38,2.410029
-29.46,39,2.416508
-30.01,7,2.423185
-29.89,15,2.426971
-29.5,50,2.476328
-29.2,42,2.487603
-29.23,69,2.509634
-16.32,72,2.527573
-29.79,40,2.537557
-30.0,1,2.540565
-29.98,19,2.56731
-29.61,29,2.578213
-30.19,20,2.590598
-29.22,63,2.624034
-29.93,19,2.63738
-29.86,17,2.644017
-28.3,74,2.651209
-29.08,59,2.664802
-29.73,32,2.67183
-29.91,7,2.675838
-17.95,17,2.701046
-29.95,24,2.743829
-30.03,24,2.754058
-29.9,38,2.763763
-29.83,29,2.768279
-30.01,2,2.776364
-30.07,23,2.781528
-29.21,82,2.812076
-29.23,122,2.822197
-29.72,23,2.84683
-29.92,13,2.857963
-29.87,23,2.858476
-30.01,2,2.865096
-29.97,8,2.875411
-29.67,43,2.896268
-17.710003,28,2.920975
-29.64,40,2.920975
-29.02,78,3.02223
-29.19,39,3.025619
-16.92,54,3.044841
-29.16,66,3.078598
-29.64,30,3.122965
-28.509998,64,3.130717
-15.630003,155,3.147348
-30.09,5,3.147348
-28.75,71,3.153849
-29.64,25,3.160842
-29.25,49,3.184191
-28.779999,99,3.202802
-30.02,13,3.224372
-29.76,27,3.235453
-30.23,14,3.24848
-30.01,2,3.255145
-17.79,11,3.261761
-28.77,69,3.272262
-29.57,38,3.278783
-29.22,47,3.278783
-30.07,13,3.298852
-29.289999,61,3.358936
-29.35,66,3.363473
-29.97,28,3.370883
-29.97,3,3.381297
-17.560005,38,3.399586
-29.18,54,3.417264
-29.88,19,3.427852
-30.0,51,3.435382
-29.06,54,3.464154
-29.76,22,3.478576
-29.78,30,3.491053
-29.53,55,3.491053
-30.01,2,3.49956
-30.0,1,3.504673
-5.9400005,27,3.51828
-29.76,42,3.51828
-17.89,26,3.526201
-30.15,16,3.526201
-17.74,11,3.560328
-29.85,36,3.570733
-29.91,17,3.589814
-29.78,9,3.594507
-30.01,7,3.598518
-49.59,36,3.615686
-29.85,31,3.619632
-29.76,27,3.627862
-29.74,30,3.631572
-29.38,49,3.675309
-29.9,16,3.679175
-30.1,6,3.697434
-29.88,24,3.70697
-29.67,38,3.742369
-30.1,11,3.742369
-29.49,40,3.783746
-17.740002,16,3.803875
-29.42,58,3.815783
-29.36,36,3.820561
-29.83,31,3.830187
-29.23,66,3.845889
-29.94,26,3.905516
-17.460005,28,3.924485
-49.6,47,3.924485
-29.0,77,3.924485
-30.06,2,3.93381
-29.83,29,3.941897
-30.06,2,3.941897
-29.28,45,3.9598
-17.480001,40,3.99837
-17.29,25,4.003611
-29.88,22,4.012159
-29.89,10,4.049397
-29.41,62,4.060103
-29.96,27,4.064322
-16.990002,34,32.999829
-29.96,22,33.010669
-29.67,23,33.018545
-29.87,13,33.056641
-29.35,66,33.109774
-50.0,37,33.120053
-29.11,43,33.149027
-28.95,52,33.170886
-30.01,54,33.205703
-29.78,28,33.22113
-29.61,77,33.250539
-29.039999,110,33.255042
-28.68,41,33.258805
-28.369999,61,33.27215
-29.48,39,33.31154
-29.7,46,33.315825
-29.68,19,33.323175
-29.53,34,33.331376
-29.61,22,33.331376
-29.69,45,33.380345
-29.88,22,33.388065
-29.68,22,33.406148
-29.87,8,33.410044
-17.54,26,33.41425
-30.03,4,33.421219
-30.09,10,33.425104
-17.54,51,33.439786
-29.43,44,33.472066
-28.859999,56,33.472066
-29.8,21,33.501308
-29.59,25,33.513266
-30.13,65,33.562665
-29.7,41,33.562665
-29.9,26,33.591906
-29.85,11,33.600302
-17.060001,58,33.61793
-28.73,57,33.641891
-29.84,29,33.661092
-30.0,1,33.664491
-30.2,46,33.671995
-17.380003,60,33.682039
-29.79,20,33.685816
-30.02,8,33.712067
-29.9,11,33.748312
-29.9,26,33.759012
-29.92,36,33.784037
-28.92,99,33.809114
-17.680004,40,33.81212
-30.1,11,33.84317
-30.06,2,33.850158
-29.68,29,33.875367
-28.26,90,33.88758
-29.89,5,33.892004
-27.42,90,33.896103
-29.42,46,33.9071
-29.06,87,33.930979
-29.99,25,33.938731
-30.02,13,33.947154
-29.96,12,33.955218
-29.61,42,33.959441
-17.560001,63,33.963941
-29.67,33,34.019562
-30.16,27,34.034542
-30.02,3,34.045878
-29.64,45,34.061186
-29.63,24,34.110743
-29.73,19,34.119893
-29.98,44,34.123602
-29.3,51,34.137547
-29.31,52,34.149521
-30.14,10,34.154515
-30.03,24,34.158847
-28.99,55,34.173038
-29.88,14,34.178503
-29.83,19,34.214441
-29.99,10,34.218832
-17.640003,66,34.222848
-30.0,1,34.222848
-29.91,7,34.251243
-29.73,14,34.270085
-29.39,37,34.274085
-30.06,2,34.283851
-30.0,1,34.289102
-29.73,34,34.296669
-29.99,10,34.311184
-30.02,18,34.323192
-17.320002,39,34.331715
-29.72,18,34.367479
-29.84,20,34.367479
-29.86,12,34.371825
-29.98,4,34.382754
-29.62,43,34.394335
-29.73,14,34.420055
-28.98,74,34.447278
-30.02,28,34.500797
-29.62,18,34.517082
-30.02,3,34.528804
