#{"t_start": 1781359455.5104058, "env_id": "None"}
r,l,t
-30.0,1,2.351394
-30.0,1,2.351394
-29.97,8,2.37932
-29.95,11,2.386264
-30.0,16,2.402552
-29.83,14,2.426954
-17.780005,30,2.449007
-29.52,38,2.472442
-29.94,40,2.479765
-30.04,30,2.500088
-30.09,25,2.52621
-29.99,10,2.530052
-29.27,57,2.533698
-30.07,3,2.540025
-30.06,2,2.540025
-29.89,20,2.543147
-29.16,64,2.558719
-29.98,14,2.586026
-29.68,14,2.600081
-29.75,31,2.619881
-29.77,28,2.624139
-29.88,19,2.655383
-27.919998,94,2.676276
-29.43,54,2.700041
-30.06,12,2.714056
-30.01,52,2.748047
-29.93,14,2.753151
-29.7,41,2.753151
-29.67,32,2.76475
-29.64,45,2.772409
-29.16,96,2.779975
-29.92,8,2.783755
-30.0,6,2.793515
-28.499998,116,2.796521
-29.91,22,2.796521
-29.69,15,2.815916
-17.810001,13,2.826035
-29.96,12,2.853889
-17.400002,32,2.857876
-29.7,31,2.857876
-30.03,4,2.870636
-29.72,23,2.89947
-30.14,15,2.919362
-29.99,20,2.923481
-17.220005,45,2.942298
-29.57,53,2.952248
-29.59,30,2.952248
-30.03,4,2.965064
-30.15,21,2.969253
-29.76,22,2.996245
-30.0,1,3.000253
-30.16,74,3.039929
-29.96,27,3.043929
-29.59,37,3.088839
-4.1399994,51,3.088839
-29.67,38,3.096885
-29.82,28,3.136554
-28.83,109,3.153302
-29.44,25,3.17238
-30.07,23,3.17238
-29.55,41,3.176754
-29.79,55,3.1837
-28.89,72,3.1837
-30.06,7,3.198292
-29.87,33,3.202264
-29.87,8,3.213838
-29.91,12,3.24415
-30.15,21,3.252695
-30.0,24,3.260447
-29.85,36,3.263747
-30.0,1,3.268374
-29.89,25,3.275041
-29.38,39,3.29397
-29.55,34,3.325325
-29.82,28,3.364087
-29.51,37,3.388776
-29.64,35,3.39669
-30.0,1,3.401235
-29.85,6,3.413388
-29.49,55,3.417266
-17.660004,26,3.421456
-29.39,37,3.432626
-29.56,17,3.464501
-29.96,12,3.464501
-28.91,60,3.468998
-30.1,6,3.48643
-30.06,22,3.495298
-29.82,18,3.500094
-29.92,13,3.515153
-29.39,30,3.530664
-29.1,44,3.530799
-17.83,10,3.55394
-30.01,17,3.55394
-29.48,24,3.562778
-30.08,4,3.570686
-29.78,24,3.594392
-29.289999,85,3.598565
-29.89,15,3.62168
-29.82,8,3.62544
-29.89,35,3.633848
-29.78,9,3.633848
-30.02,3,3.644944
-29.95,21,3.654776
-29.98,14,3.689779
-29.76,42,3.699523
-17.53,50,3.730296
-30.17,13,3.742467
-17.75,12,3.746465
-29.92,23,3.746465
-30.04,5,3.75123
-17.850006,32,3.754983
-29.44,50,3.754983
-29.96,7,3.774028
-29.77,8,3.778817
-17.24,48,3.81218
-30.13,19,3.824969
-29.83,24,3.847609
-29.73,41,3.905232
-29.63,29,3.929895
-29.69,43,3.946831
-29.57,48,3.970575
-17.220001,54,4.055252
-29.83,44,4.069728
-17.330002,45,4.123889
-29.72,23,4.14383
-29.65,66,33.498236
-30.13,4,33.515298
-29.8,16,33.520694
-29.05,68,33.525716
-27.76,127,33.568474
-27.57,110,33.573778
-26.19,155,33.573778
-29.97,33,33.614162
-28.84,65,33.633262
-29.67,18,33.645605
-30.08,4,33.649945
-29.93,19,33.684889
-29.92,48,33.709632
-29.72,23,33.726888
-29.76,17,33.745852
-30.07,13,33.756335
-29.22,30,33.756335
-16.400002,63,33.756335
-17.59,51,33.76072
-30.07,3,33.76888
-29.33,54,33.776815
-29.94,15,33.799133
-29.77,13,33.80313
-29.83,14,33.818
-29.7,21,33.830984
-29.87,28,33.85661
-29.66,27,33.867707
-29.89,20,33.871867
-16.71,103,33.896411
-29.65,31,33.904459
-29.77,18,33.92684
-29.81,22,33.930334
-28.88,69,33.96277
-30.03,14,33.971883
-29.5,46,33.981211
-29.33,44,34.037023
-29.84,75,34.057678
-29.76,32,34.071964
-29.3,61,34.09995
-29.55,41,34.115233
-29.22,49,34.122756
-28.789999,64,34.139956
-29.89,10,34.150908
-29.91,27,34.154418
-29.369999,28,34.172176
-29.74,40,34.17634
-29.08,94,34.184548
-4.4799976,31,34.215297
-29.91,27,34.222295
-30.1,21,34.229976
-29.62,24,34.229976
-29.56,23,34.259238
-30.03,9,34.26355
-29.46,32,34.295992
-29.64,25,34.308579
-29.2,38,34.330509
-29.86,27,34.33515
-29.71,22,34.352977
-29.93,14,34.369461
-29.38,33,34.394736
-30.0,1,34.400055
-29.56,27,34.447311
-29.35,61,34.472531
-16.82,84,34.495544
-29.76,37,34.495544
-29.33,40,34.526181
-29.92,13,34.531384
-29.24,70,34.601944
-29.94,5,34.624349
-29.6,31,34.633611
-29.53,27,34.653269
-29.21,60,34.668466
-17.17,39,34.6739
-29.52,73,34.694245
-29.45,56,34.699257
-29.13,41,34.711831
-29.74,10,34.71595
-29.71,22,34.732302
-30.0,1,34.736457
-29.67,13,34.748092
-17.61,18,34.77209
-29.45,36,34.804288
-29.63,34,34.808441
-29.38,29,34.852548
-30.07,3,34.865306
-29.32,40,34.873407
-29.69,26,34.878154
-29.48,34,34.886214
-17.26,44,34.894322
-29.9,6,34.903705
-29.83,29,34.922357
-29.97,8,34.950497
-28.97,83,34.965001
-29.91,27,34.986959
-30.0,1,34.990947
-29.51,47,34.991942
-29.18,42,35.030457
-29.8,21,35.040988
-30.05,6,35.064148
-29.15,46,35.064664
-17.54,51,35.089425
-29.63,34,35.113484
-16.990002,48,35.12534
-29.14,73,35.136983
-29.93,29,35.136983
-29.56,42,35.144877
-30.13,24,35.152821
-30.08,14,35.173572
-4.74,24,35.187996
-29.93,4,35.205412
-29.8,26,35.237877
-28.88,45,35.245617
-29.84,10,35.27697
-29.67,33,35.27697
-29.82,13,35.297732
-30.01,12,35.343247
-49.25,48,35.350706
-29.53,39,35.359926
-29.94,25,35.375113
-30.0,6,35.375113
-29.8,28,35.386966
-29.8,16,35.405546
-29.2,65,35.433334
-30.07,23,35.449724
-30.07,8,63.763967
-29.97,13,63.804536
-29.69,44,63.829986
-29.35,41,63.829986
-29.92,28,63.840092
-28.93,109,63.853513
-29.03,53,63.860516
-30.11,7,63.864271
-28.16,115,63.880863
-29.87,13,63.90562
-30.02,18,63.912991
-29.52,28,63.922593
-30.18,29,63.954346
-29.73,24,63.958539
-29.279999,49,63.964622
-17.2,46,63.98222
-29.88,14,64.008557
-29.35,37,64.041773
-29.46,35,64.045706
-29.56,42,64.054989
-29.75,21,64.091689
-30.02,43,64.118021
-29.88,39,64.133686
-29.99,20,64.193935
-29.98,9,64.227472
-28.38,149,64.238842
-29.67,58,64.264897
-29.06,57,64.304438
-17.920002,19,64.308997
-29.62,53,64.3308
-30.01,17,64.369275
-29.09,109,64.378364
-29.099998,101,64.435258
-28.75,101,64.443686
-29.35,57,64.447688
-29.95,21,64.456712
-29.01,63,64.514225
-29.87,38,64.534547
-30.09,25,64.551945
-29.97,13,64.568797
-29.44,35,64.580028
-29.41,61,64.580028
-30.01,2,64.589094
-28.47,72,64.600011
-29.95,6,64.622873
-29.64,20,64.631052
-29.91,12,64.666758
-29.37,31,64.696787
-30.02,23,64.751004
-28.96,58,64.755999
-29.41,52,64.764333
-4.0300026,52,64.782884
-30.06,2,64.79078
-29.87,13,64.802428
-29.87,33,64.822021
-29.24,55,64.836817
-30.01,12,64.836817
-16.310007,117,64.901492
-29.92,18,64.91071
-29.69,40,64.915674
-29.59,35,64.9429
-30.01,12,64.961092
-30.0,1,64.966225
-16.460001,138,64.996065
-29.87,13,65.049704
-27.75,76,65.065461
-29.55,37,65.087707
-17.900002,12,65.111741
-29.93,9,65.124263
-16.740005,78,65.146954
-29.05,67,65.166065
-29.119999,53,65.174947
-30.01,17,65.179195
-30.52,38,65.19678
-17.740002,16,65.226645
-30.02,13,65.226645
-29.78,24,65.239366
-29.98,4,65.255222
-30.0,1,65.260656
-2.2799969,112,65.264895
-28.51,90,65.264895
-30.02,3,65.274105
-29.77,13,65.282261
-30.05,16,65.344769
-17.560001,23,65.357199
-17.250002,42,65.36595
-29.65,26,65.371947
-29.69,35,65.413965
-28.83,77,65.431437
-29.58,29,65.474313
-29.48,24,65.51392
-30.01,7,65.540905
-48.84999,97,65.566229
-28.97,88,65.587636
-29.97,3,65.601381
-28.58,63,65.606602
-29.119999,43,65.610557
-30.03,4,65.622759
-29.82,13,65.622759
-29.19,64,65.632416
-29.8,25,65.649972
-29.97,18,65.697812
-29.7,26,65.732595
-28.779999,88,65.738031
-29.71,22,65.744087
-29.78,14,96.594633
-28.77,83,96.618596
-29.85,24,96.625712
-28.17,56,96.629224
-29.45,67,96.685029
-3.8799992,48,96.70928
-17.36,43,96.754476
-30.08,4,96.766566
-28.4,73,96.823156
-29.67,48,96.832897
-29.92,8,96.85903
-29.44,75,96.862041
10.040062,141,96.898696
-29.44,90,96.905694
-29.56,32,96.923886
-16.600002,77,96.944462
-28.64,64,96.963572
-30.46,42,96.990888
-29.43,54,97.024408
-27.130001,165,97.037439
-29.95,16,97.041571
-29.48,29,97.05565
-29.69,40,97.074203
-17.18,56,97.078734
-30.08,14,97.092545
-29.93,19,97.107657
-30.03,4,97.107657
-29.85,30,97.212462
-16.71,94,97.241401
-29.21,65,97.258398
-29.5,46,97.273497
-30.09,5,97.292176
-17.18,60,97.29634
-29.43,79,97.360589
-29.89,20,97.36913
-29.43,54,97.412105
-28.96,47,97.416105
-17.830002,15,97.417104
-29.28,38,97.431125
-29.79,25,97.462089
-28.94,61,97.48388
-29.63,29,97.524934
-30.11,37,97.568279
-15.390002,191,97.579013
-30.15,6,97.599343
-3.9399948,58,97.624172
-30.03,4,97.639322
-17.23,50,97.643322
-29.66,48,97.657465
-29.029999,74,97.6858
-29.86,17,97.703246
-28.42,183,97.722305
-49.29,46,97.732487
-30.11,47,97.768655
-29.89,30,97.793038
-29.36,42,97.807122
-29.76,26,97.81485
-29.97,43,97.8537
-29.61,27,97.886232
-29.78,31,97.960457
-28.88,94,97.969525
-30.09,25,97.973378
-29.15,62,97.984561
-30.0,6,97.995895
-16.900003,53,97.999244
-28.609999,75,98.07228
-29.82,34,98.107874
-30.06,17,98.13391
-30.369999,114,98.138229
-29.43,50,98.153795
-29.22,53,98.157608
-30.08,9,98.169074
-29.87,13,98.188815
-29.56,54,98.200697
-29.98,4,98.204621
-15.580006,194,98.223873
-29.82,18,98.228163
-29.77,18,98.239713
-30.17,73,98.269868
-29.5,41,98.308789
-17.41,28,98.308789
-29.25,56,98.321375
-29.68,25,98.332029
-29.61,32,129.763073
-17.300001,32,129.872643
-29.79,45,129.889085
-28.91,63,129.918522
-49.480003,55,129.942776
-4.3599987,53,129.947726
-16.54,96,129.979102
-29.9,11,130.021472
-28.61,121,130.104348
-29.45,61,130.18102
-17.779999,70,130.189002
-29.33,41,130.252391
-29.45,66,130.267674
-29.529999,89,130.27951
-29.07,113,130.303351
-29.96,7,130.328902
-29.460001,43,130.337093
-29.49,51,130.373024
-27.369999,142,130.421932
-29.8,43,130.421932
-5.5799923,26,130.421932
-30.04,25,130.427471
-28.210001,200,130.471099
-16.850002,63,130.483536
-29.7,37,130.508475
-30.0,25,130.517505
-29.8,26,130.521192
-29.109999,67,130.52615
