#{"t_start": 1781366624.4062605, "env_id": "None"}
r,l,t
-29.69,25,90.165364
-28.78,43,90.175617
-27.87,200,90.200011
-29.89,40,90.214808
-17.860003,18,90.229584
-30.15,31,90.24421
-29.46,32,90.29078
-29.69,20,90.297977
-30.15,6,90.328493
-29.74,40,90.362704
-3.6399994,47,90.383002
-29.6,37,90.398982
-29.64,30,90.442856
-29.79,15,90.458432
-28.89,60,90.473997
-29.93,4,90.478948
-30.07,3,90.490801
-30.04,5,90.51482
-29.78,14,90.51482
-29.67,58,90.536096
-28.949999,51,90.585067
-30.08,14,90.604632
-30.15,102,90.735267
-29.7,31,90.735267
-29.51,52,90.770109
-30.0,1,90.775647
-29.99,35,90.775647
-28.92,53,90.775647
-29.75,11,90.78937
-29.08,69,90.81688
-4.880001,86,90.823233
-29.59,35,90.900568
-17.380001,35,90.936837
-29.71,35,90.936837
-29.64,35,90.984846
-27.740002,130,90.995222
-29.4,46,91.004875
-17.52,19,91.028583
-29.38,64,91.118718
-29.58,47,91.125016
-29.9,36,91.157284
-29.92,8,91.157284
-17.180002,41,91.215117
-29.93,19,91.257173
-29.95,21,91.326099
-29.65,16,91.387898
-17.430004,55,91.387898
-3.8399982,60,91.387898
-28.85,84,91.47215
-30.08,14,91.506421
-29.98,9,91.579807
-49.11,48,91.61438
-29.86,27,91.704671
-28.859999,69,91.738698
-29.71,17,91.76498
-30.02,8,91.774223
-29.69,50,91.81374
-28.64,63,137.365149
-29.58,57,137.370402
-30.08,9,137.381085
-29.93,14,137.381085
-29.99,5,137.404818
-29.74,50,137.441607
-30.1,16,137.45155
-30.07,3,137.457507
-17.580002,20,137.463145
-27.300001,194,137.497685
-17.890003,26,137.521997
-29.16,55,137.565822
-18.020002,14,137.628718
-28.47,62,137.752445
-28.38,76,137.867699
-16.74,89,137.945829
-29.05,111,137.980763
-28.56,131,137.98636
-26.880001,148,137.998366
-29.6,96,138.098504
-30.0,1,138.104123
-29.53,39,138.14557
-17.870003,59,138.156445
-29.289999,59,138.279478
-28.62,108,138.279478
-30.05,6,138.310557
-29.66,57,138.390194
-30.15,200,138.444778
-30.0,16,138.527761
-27.91,85,138.590657
-28.74,91,138.613634
-29.09,65,138.624416
-28.42,123,138.62895
-29.41,65,138.737769
-29.47,43,138.758552
-30.01,7,138.777544
-16.170006,90,138.793753
-29.56,47,138.842838
-27.6,185,138.937866
-29.27,43,139.0107
-28.58,93,139.105602
-28.99,95,139.110098
-29.42,38,139.127013
-29.19,101,139.131744
-30.01,2,139.144759
-29.05,86,139.212836
-3.4999962,74,139.218714
-29.85,26,139.252033
-28.87,103,139.286629
-29.34,35,139.311528
-28.449999,64,139.339119
-29.69,35,139.432571
-31.28,54,139.57152
-29.87,35,139.616653
-29.93,14,139.643279
9.060001,99,139.663876
-29.029999,88,139.682493
-29.97,3,139.682493
-29.76,111,139.693969
-28.96,91,139.693969
-17.100002,72,139.693969
-30.02,3,139.70235
-29.18,69,139.707996
-30.08,4,139.719935
-17.630001,25,139.765282
-29.99,10,139.791192
-29.9,21,139.857471
-29.83,24,139.858477
-30.01,12,139.868804
-29.46,47,140.001197
-29.93,24,140.001197
-29.91,30,188.814204
-29.99,5,188.837035
-29.48,99,189.025349
-16.440002,106,189.048098
-28.67,84,189.053931
-29.55,51,189.058886
-29.63,83,189.116035
-29.5,21,189.152093
-29.52,23,189.15773
-17.64,131,189.330317
-29.619999,46,189.361742
-31.11,87,189.412133
-28.99,200,189.462774
-28.8,74,189.476986
-29.539999,83,189.482118
-30.0,6,189.507733
-30.05,6,189.534038
-27.250002,200,189.561836
-17.380005,32,189.608432
-27.88,132,189.63875
-28.99,50,189.769675
-29.15,91,189.823292
-29.46,62,189.913022
-3.579998,103,189.947211
-15.830004,133,189.965315
-28.45,88,189.972589
-28.16,89,190.027536
-30.599998,166,190.09472
-17.390003,31,190.104281
-29.93,19,190.119121
-17.460003,33,190.129698
-29.84,26,190.261274
-29.86,17,190.366851
-28.73,109,190.385091
-29.47,83,190.410722
-17.59,158,190.567229
-29.5,47,190.609345
-28.310001,102,190.632249
-28.92,47,190.647322
-29.95,16,190.68912
-29.09,124,190.769397
-17.660004,53,190.835516
-17.030006,51,190.902814
-29.49,43,190.903817
-29.42,58,190.925527
-29.439999,200,190.951622
-30.05,6,190.957479
-30.07,3,190.973265
-28.77,117,190.979575
-29.11,53,191.044233
-17.45,27,191.050999
-29.77,13,191.050999
-17.61,28,191.125848
-29.01,200,191.150393
-29.53,34,191.222777
-30.31,47,236.695459
-17.42,109,236.844431
-28.98,109,236.884566
-17.450003,82,236.930032
-29.72,23,237.039975
-28.43,80,237.055793
-29.26,46,237.103002
-17.57,105,237.112738
