#{"t_start": 1781285167.7912755, "env_id": "None"}
r,l,t
-29.93,29,4.323893
-5.049999,53,4.337134
-29.74,23,4.36296
-17.730003,35,4.367125
-28.539999,57,4.371633
-29.74,40,4.379544
-17.400002,31,4.380539
-30.01,7,4.384326
-30.21,52,4.397685
-29.369999,33,4.398931
-30.09,15,4.404869
-29.96,12,4.429722
-29.6,36,4.447961
-4.709999,31,4.454958
-29.18,62,4.475413
-29.47,23,4.489685
-29.95,21,4.490774
-4.880003,102,4.495893
-29.48,64,4.497684
-29.87,8,4.508621
-29.66,22,4.527783
-28.3,74,4.532783
-17.050001,62,4.540984
-17.44,31,4.557643
-29.45,41,4.557643
-30.0,1,4.558931
-29.76,32,4.567959
-29.52,33,4.598826
-17.330002,35,4.619584
-28.179998,137,4.625583
-17.55,47,4.631584
-29.97,3,4.637906
-29.49,45,4.643909
-29.4,59,4.643909
-29.64,15,4.671246
-28.349998,102,4.690861
-29.84,10,4.692874
-29.88,29,4.697944
-3.789999,53,4.700022
-29.97,3,4.705695
-17.620003,32,4.714264
-29.029999,74,4.722964
-29.89,15,4.730311
-29.99,10,4.740299
-29.42,29,4.76973
-29.24,70,4.771231
-28.92,71,4.777879
-29.69,20,4.777879
-30.1,6,4.790344
-29.18,44,4.796991
-29.289999,50,4.804225
-17.29,41,4.808126
-29.89,25,4.822811
-30.01,12,4.822811
-30.0,1,4.824794
-29.94,10,4.845664
-17.66,38,4.855829
-29.48,37,4.864472
-29.81,22,4.870539
-29.54,35,4.879785
-30.02,3,4.882803
-28.94,61,4.896516
-28.56,85,4.905143
-29.49,25,4.90899
-29.87,18,4.90899
-29.17,50,4.914305
-29.77,8,4.915406
-18.48,40,4.939814
-29.84,30,4.941393
-29.96,7,4.953186
-29.68,19,4.961355
-17.44,31,4.993344
-29.95,44,4.995346
-29.46,37,5.009629
-29.8,11,5.016629
-17.380005,33,5.034395
-17.2,57,5.044535
-29.89,47,5.063236
-30.06,2,5.065231
-30.0,1,5.073134
-29.11,61,5.074129
-29.74,30,5.07613
-29.39,40,5.089284
-29.21,52,5.100246
-29.77,13,5.100246
-29.97,13,5.10507
-29.369999,38,5.106893
-29.62,28,5.12851
-17.230001,45,5.136617
-29.99,10,5.145163
-28.81,108,5.151597
-29.75,41,5.170412
-29.76,37,5.175587
-30.1,36,5.177645
-29.24,40,5.178803
-30.01,2,5.185497
-30.0,6,5.187499
-30.02,3,5.187499
-29.87,28,5.193322
-30.1,11,5.198015
-30.11,7,5.199015
-30.07,8,5.205428
-30.07,8,5.205428
-17.870003,19,5.240415
-17.7,22,5.240415
-29.06,47,5.240415
-29.45,46,5.24135
-30.02,3,5.250063
-29.62,33,5.259528
-29.06,35,5.259528
-29.94,10,5.259528
-29.95,6,5.274412
-29.85,21,5.300333
-28.94,53,5.302341
-29.79,25,5.307343
-28.91,107,5.311947
-29.41,42,5.319074
-17.380001,40,5.323104
-29.73,14,5.330716
-29.76,37,5.341387
-17.820004,19,5.342387
-29.83,24,5.347954
-29.91,7,5.354462
-29.21,67,5.371407
-29.67,23,5.395616
-17.32,44,5.398618
-30.05,35,5.404393
-29.67,23,5.411408
-29.98,9,5.418425
-29.14,54,5.440496
-29.3,65,5.447659
-29.85,6,5.455172
-29.68,32,5.463172
-28.9,91,5.475899
-29.109999,87,5.4769
-17.29,38,5.485961
-30.09,5,5.490961
-29.72,23,5.493583
-29.279999,49,5.498574
-29.86,22,5.507375
-29.41,62,5.509386
-30.04,10,5.515772
-29.73,30,5.535885
-29.46,47,5.539274
-29.76,17,5.541281
-17.710003,28,5.552461
-17.630001,35,5.554471
-29.89,15,5.579342
-29.62,28,5.586858
-29.35,55,5.602405
-30.02,28,5.602405
-30.02,3,5.611006
-29.369999,53,5.611006
-29.9,39,5.611006
-28.84,70,5.617479
-29.56,22,5.620948
-3.3099957,64,5.650334
-29.85,26,5.656344
-29.97,44,5.662343
-29.16,39,5.67875
-29.79,20,5.683432
-29.81,7,5.69241
-4.0,52,5.698927
-17.89,51,5.706424
-17.050003,57,5.708465
-29.96,7,5.718176
-16.910004,67,5.720175
-29.91,12,5.728751
-29.74,30,5.745445
-29.49,35,5.745445
-17.410002,31,5.753313
-29.53,29,5.768387
-29.6,31,5.774398
-16.850004,70,5.775396
-30.12,18,5.775396
-29.56,22,5.791996
-28.869999,93,5.824273
-29.13,39,5.842461
-17.300003,47,5.848839
-29.7,36,5.853331
-29.83,19,5.857673
