#{"t_start": 1781277571.4529538, "env_id": "None"}
r,l,t
-29.99,5,2.01593
-18.0,7,2.024218
-30.02,3,2.027102
-30.0,1,2.027102
-29.93,14,2.047532
-29.92,18,2.062924
-29.85,26,2.091008
-29.65,31,2.108839
-29.96,17,2.108839
-29.94,26,2.118263
-29.6,21,2.13664
-29.65,31,2.13664
-28.95,41,2.144059
-29.58,25,2.176676
-29.26,72,2.24094
-29.38,39,2.260531
-30.03,4,2.273594
-30.11,12,2.279505
-29.43,57,2.292106
-29.02,48,2.295542
-29.619999,58,2.305242
-17.29,61,2.305242
-17.29,56,2.314744
-29.85,16,2.32443
-29.53,51,2.338133
-29.81,17,2.350251
-29.67,23,2.366576
-30.05,6,2.384498
-29.94,20,2.38827
-29.88,34,2.412677
-29.77,33,2.439
-30.05,16,2.460586
-17.800003,48,2.464722
-29.51,61,2.495211
-30.01,12,2.498017
-29.91,12,2.502048
-30.01,7,2.52367
-17.960001,8,2.52367
-29.26,62,2.541392
-29.23,54,2.550483
-29.94,40,2.561132
-29.55,26,2.573197
-29.98,4,2.585221
-30.07,23,2.59166
-29.94,5,2.601439
-29.1,72,2.608992
-17.75,32,2.637072
-29.45,31,2.643445
-30.0,21,2.66435
-29.59,45,2.710588
-29.82,18,2.741844
-30.01,7,2.771732
-29.68,49,2.791293
-5.1499996,43,2.814651
-27.78,163,2.822679
-29.48,29,2.831037
-29.55,51,2.838472
-29.72,18,2.842278
-28.81,92,2.851576
-30.02,3,2.85545
-30.0,6,2.864859
-3.3500023,94,2.942169
-49.62,44,2.955411
-29.99,5,2.959435
-30.06,2,2.963151
-30.12,3,2.970407
-29.84,40,2.977691
-49.68,35,2.977691
-29.93,4,2.977691
-30.03,43,3.013949
-29.96,12,3.018949
-29.89,5,3.034621
-30.09,61,3.041164
-29.77,23,3.053742
-29.72,33,3.080044
-30.01,2,3.086372
-29.61,27,3.103773
-29.98,4,3.117968
-29.15,76,3.117968
-30.0,1,3.122561
-29.34,45,3.130112
-30.12,13,3.134013
-30.08,4,3.150166
-30.07,8,3.155131
-29.06,96,3.158862
-30.02,3,3.166871
-4.16,38,3.178323
-29.44,20,3.198114
-29.41,57,3.239881
-29.89,10,3.275905
-30.0,1,3.28095
-29.79,40,3.302462
-29.39,45,3.302462
-29.82,38,3.325233
-29.32,35,3.333164
-29.95,16,3.370244
-29.38,54,3.370244
-30.11,17,3.401423
