#{"t_start": 1781285348.8097618, "env_id": "None"}
r,l,t
-30.0,1,2.177292
-30.0,1,2.177292
-29.97,8,2.206652
-29.95,11,2.21504
-30.0,16,2.234426
-29.83,14,2.259826
-17.780005,30,2.286108
-29.52,38,2.320744
-29.94,40,2.331109
-30.04,30,2.357867
-30.09,25,2.394553
-29.99,10,2.400549
-29.27,57,2.404755
-30.07,3,2.414514
-30.06,2,2.414514
-29.89,20,2.419673
-29.16,64,2.440567
-29.98,14,2.478468
-29.68,14,2.499854
-29.75,31,2.527534
-29.77,28,2.531567
-29.88,19,2.573151
-27.919998,94,2.600323
-29.43,54,2.630477
-30.06,12,2.644656
-30.01,52,2.678251
-29.93,14,2.682248
-29.7,41,2.682248
-29.67,32,2.69429
-29.64,45,2.703027
-29.16,96,2.710192
-29.92,8,2.714525
-30.0,6,2.726158
-28.499998,116,2.730091
-29.91,22,2.731099
-29.69,15,2.753
-17.810001,13,2.765616
-29.96,12,2.796146
-17.400002,32,2.800146
-29.7,31,2.800146
-30.03,4,2.815203
-29.72,23,2.849931
-30.14,15,2.870766
-29.99,20,2.874768
-17.220005,45,2.897636
-29.57,53,2.908195
-29.59,30,2.908195
-30.03,4,2.923185
-30.15,21,2.927181
-29.76,22,2.956887
-30.0,1,2.961695
-30.16,74,3.00677
-29.96,27,3.011057
-29.59,37,3.0608
-4.1399994,51,3.0608
-29.67,38,3.07048
-29.82,28,3.113354
-28.83,109,3.13256
-29.44,25,3.155666
-30.07,23,3.155666
-29.55,41,3.160838
-29.79,55,3.168387
-28.89,72,3.168387
-30.06,7,3.182946
-29.87,33,3.187379
-29.87,8,3.199451
-29.91,12,3.233579
-30.15,21,3.242087
-30.0,24,3.249659
-29.85,36,3.255269
-30.0,1,3.261225
-29.89,25,3.269597
-29.38,39,3.287479
-29.55,34,3.316285
-29.82,28,3.352249
-29.51,37,3.378123
-29.64,35,3.386131
-30.0,1,3.390176
-29.85,6,3.401307
-29.49,55,3.40682
-17.660004,26,3.411353
-29.39,37,3.422154
-29.56,17,3.457348
-29.96,12,3.457348
-28.91,60,3.461568
-30.1,6,3.479945
-30.06,22,3.487465
-29.82,18,3.491464
-29.92,13,3.506185
-29.39,30,3.522179
-29.1,44,3.522179
-17.83,10,3.546028
-30.01,17,3.546028
-29.48,24,3.552987
-30.08,4,3.560987
-29.78,24,3.581685
-29.289999,85,3.586088
-29.89,15,3.608153
-29.82,8,3.613148
-29.89,35,3.62169
-29.78,9,3.62169
-30.02,3,3.632294
-29.95,21,3.640298
-29.98,14,3.670012
-29.76,42,3.677097
-17.53,50,3.702139
-30.17,13,3.712037
-17.75,12,3.71616
-29.92,23,3.71616
-30.04,5,3.720104
-17.850006,32,3.72313
-29.44,50,3.72313
-29.96,7,3.740154
-29.77,8,3.744126
-17.24,48,3.772874
-30.13,19,3.782918
-29.83,24,3.803031
-29.73,41,3.855201
-29.63,29,3.87557
-29.69,43,3.890169
-29.57,48,3.912203
-17.220001,54,4.003353
-29.83,44,4.023292
-17.330002,45,4.09592
-29.72,23,4.119205
-29.65,66,37.64439
-26.390001,140,37.657071
-30.13,4,37.662468
-29.8,16,37.667481
-29.1,73,37.694973
-27.57,110,37.730144
-29.63,19,37.751196
-29.97,33,37.781909
-27.53,151,37.840843
-29.93,19,37.871069
-29.1,85,37.896073
-30.01,47,37.918286
-28.48,54,37.918286
-29.76,17,37.946042
-29.59,35,37.998333
-29.89,20,38.007518
-29.94,15,38.01304
-28.71,62,38.018469
-30.0,6,38.037562
-29.88,9,38.042525
-29.97,3,38.054662
