#{"t_start": 1781362884.3829732, "env_id": "None"}
r,l,t
-30.0,1,2.315286
-30.0,1,2.315286
-29.97,8,2.347781
-29.95,11,2.356521
-30.0,16,2.377164
-29.83,14,2.405903
-17.780005,30,2.433687
-29.52,38,2.466167
-29.94,40,2.474335
-30.04,30,2.498103
-30.09,25,2.54097
-29.99,10,2.546304
-29.27,57,2.551556
-30.07,3,2.562039
-30.06,2,2.562039
-29.89,20,2.567275
-29.16,64,2.588229
-29.98,14,2.624159
-29.68,14,2.647047
-29.75,31,2.67674
-29.77,28,2.680853
-29.88,19,2.724119
-27.919998,94,2.750755
-29.43,54,2.783455
-30.06,12,2.79843
-30.01,52,2.835965
-29.93,14,2.840659
-29.7,41,2.840659
-29.67,32,2.852876
-29.64,45,2.861237
-29.16,96,2.869527
-29.92,8,2.874031
-30.0,6,2.88855
-28.499998,116,2.893546
-29.91,22,2.893546
-29.69,15,2.919289
-17.810001,13,2.933818
-29.96,12,2.978439
-17.400002,32,2.985904
-29.7,31,2.985904
-30.03,4,3.01063
-29.72,23,3.051644
-30.14,15,3.078642
-29.99,20,3.083909
-17.220005,45,3.113889
-29.57,53,3.128046
-29.59,30,3.128046
-30.03,4,3.145988
-30.15,21,3.150582
-29.76,22,3.192177
-30.0,1,3.196669
-30.16,74,3.257488
-29.96,27,3.263307
-29.59,37,3.319768
-4.1399994,51,3.319768
-29.67,38,3.329536
-29.82,28,3.379769
-28.83,109,3.401546
-29.44,25,3.42581
-30.07,23,3.42581
-29.55,41,3.430831
-29.79,55,3.438537
-28.89,72,3.438537
-30.06,7,3.456516
-29.87,33,3.4601
-29.87,8,3.472727
-29.91,12,3.509539
-30.15,21,3.519197
-30.0,24,3.528558
-29.85,36,3.532919
-30.0,1,3.53748
-29.89,25,3.545559
-29.38,39,3.567349
-29.55,34,3.597814
-29.82,28,3.640996
-29.51,37,3.669772
-29.64,35,3.679226
-30.0,1,3.683736
-29.85,6,3.694598
-29.49,55,3.699273
-17.660004,26,3.702985
-29.39,37,3.713355
-29.56,17,3.748219
-29.96,12,3.748219
-28.91,60,3.753565
-30.1,6,3.774333
-30.06,22,3.783935
-29.82,18,3.788174
-29.92,13,3.804029
-29.39,30,3.819974
-29.1,44,3.819974
-17.83,10,3.84979
-30.01,17,3.850523
-29.48,24,3.859134
-30.08,4,3.867385
-29.78,24,3.893183
-29.289999,85,3.897941
-29.89,15,3.921697
-29.82,8,3.927283
-29.89,35,3.936647
-29.78,9,3.936647
-30.02,3,3.950974
-29.95,21,3.961087
-29.98,14,3.999305
-29.76,42,4.009317
-17.53,50,4.042048
-30.17,13,4.054675
-17.75,12,4.059926
-29.92,23,4.059926
-30.04,5,4.065303
-17.850006,32,4.07001
-29.44,50,4.07001
-29.96,7,4.09067
-29.77,8,4.096337
-17.24,48,4.132036
-30.13,19,4.145084
-29.83,24,4.16962
-29.73,41,4.237138
-29.63,29,4.266518
-29.69,43,4.284477
-29.57,48,4.309763
-17.220001,54,4.412263
-29.83,44,4.431103
-17.330002,45,4.503011
-29.72,23,4.525777
-29.65,66,38.121941
-26.390001,140,38.137103
-30.13,4,38.14202
-29.8,16,38.148144
-27.76,127,38.202708
-29.88,14,38.211294
-29.93,4,38.228431
-30.01,37,38.266074
-16.96,67,38.279822
-29.86,12,38.279822
-29.82,18,38.343109
-28.61,114,38.351762
-30.05,6,38.370172
-29.35,61,38.404186
-27.03,158,38.413573
-29.85,21,38.462225
-29.68,45,38.477241
-29.71,47,38.485734
-28.64,84,38.511959
-28.85,85,38.570788
-29.39,25,38.616634
-29.39,55,38.640886
-29.9,21,38.657232
7.1899986,54,38.7005
-30.12,13,38.709137
-30.2,21,38.725781
-28.939999,95,38.755597
-29.64,65,38.755597
-29.88,34,38.755597
-29.68,79,38.791992
-30.2,6,38.816304
-29.86,27,38.837694
-29.99,20,38.837694
-30.06,22,38.847924
-30.0,1,38.852205
-28.63,104,38.852205
-29.97,3,38.866313
-29.55,40,38.870696
-29.98,29,38.880581
-29.83,19,38.926515
-29.21,53,38.941338
-17.650002,17,38.946075
-29.88,34,38.971411
-29.94,10,38.990076
-17.650002,25,38.996275
-30.05,6,39.023794
-37.49,42,39.036156
-29.92,8,39.063473
-29.17,35,39.091745
-29.85,26,39.096546
-29.21,69,39.181443
-28.86,52,39.190525
-29.79,20,39.196869
-29.41,42,39.196869
-17.49,33,39.196869
-29.95,26,39.222317
-29.96,12,39.257838
-30.11,7,39.257838
-30.22,83,39.273885
-29.62,28,39.334687
-28.99,60,39.36197
-49.41,38,39.389048
-30.01,2,39.399988
-29.63,29,39.418921
-29.73,34,39.428962
-29.79,25,39.455961
-28.73,58,39.472605
-29.47,58,39.486849
-28.75,53,39.518892
-29.99,5,39.543759
-29.69,30,39.543759
-29.88,24,39.608277
-29.52,48,39.691541
-29.64,32,39.700696
-30.05,6,39.728242
-29.66,27,39.733592
-29.49,43,39.752545
-29.42,73,39.781167
-29.38,72,39.818475
-29.69,20,39.823341
-28.269999,99,39.850224
-29.88,14,39.859552
-29.92,8,39.914979
-16.56,99,39.939648
-29.86,17,39.955856
-29.69,20,39.970946
-29.78,34,39.970946
-29.94,10,39.995345
-29.98,4,40.003404
-17.59,51,40.003404
-29.33,43,40.013504
-29.9,21,40.029989
-18.01,3,40.029989
-29.97,3,40.055931
-30.11,7,40.092927
-17.61,23,40.170028
-29.69,20,40.18061
-29.67,23,40.215416
-17.7,32,40.215416
-30.06,2,40.233749
-29.76,17,40.243889
-29.81,22,40.252363
-29.51,32,40.278792
-29.84,10,40.322298
-29.85,16,40.389298
-29.91,17,40.389298
-29.189999,65,40.505758
-29.5,44,40.539594
-17.520004,34,40.556433
-30.03,4,40.585585
-29.55,41,40.64744
