#{"t_start": 1781281119.7579906, "env_id": "None"}
r,l,t
-30.0,16,2.317513
-29.87,18,2.326759
-29.68,19,2.331781
-29.98,9,2.367648
-29.66,27,2.423031
-17.220001,49,2.448142
-29.47,54,2.46807
-30.09,10,2.486633
-29.9,31,2.486633
-5.2299976,61,2.496258
-29.69,20,2.503908
-29.94,10,2.508247
-30.13,4,2.513307
-30.06,2,2.517656
-30.03,19,2.565709
-28.31,83,2.584783
-29.07,83,2.584783
-29.76,12,2.630331
-30.08,14,2.639071
-29.57,43,2.686166
-29.07,72,2.775025
-28.93,69,2.780083
-29.16,67,2.780083
-17.49,26,2.793554
-29.56,42,2.810777
-17.230003,65,2.826719
-17.780003,50,2.834943
-30.07,8,2.866023
-29.65,32,2.904847
-29.87,13,2.91806
-30.02,8,2.95359
-29.539999,35,2.95359
-29.85,36,2.975723
-29.87,8,2.99086
-29.79,20,3.008933
-17.5,27,3.084223
-30.16,22,3.085225
-27.0,184,3.089746
-16.240005,75,3.109333
-22.979996,79,3.124464
-29.91,32,3.137294
-29.79,15,3.149967
-29.97,8,3.158407
-29.88,24,3.181323
-30.21,12,3.186081
-29.74,43,3.186081
-30.09,10,3.190765
-27.55,105,3.237401
-29.51,22,3.26547
-29.62,43,3.278836
-29.95,11,3.283453
-29.4,36,3.29968
-4.2700005,54,3.29968
-29.78,14,3.323727
-29.92,13,3.348778
-29.9,21,3.36203
-30.06,12,3.389568
-29.47,35,3.406192
-30.1,6,3.428412
-29.41,65,3.428412
-28.9,66,3.436288
-16.770008,71,3.450339
-29.65,36,3.450339
-29.21,45,3.461989
-30.11,7,3.476109
-29.85,16,3.486058
-30.02,8,3.490428
-30.0,1,3.490428
-29.8,21,3.504234
-29.89,10,3.524339
-29.76,27,3.531559
-29.51,52,3.54735
-30.09,5,3.552417
-29.91,22,3.557255
-30.07,3,3.56611
-17.670002,24,3.581962
-29.98,24,3.617456
-29.6,36,3.641316
-29.449999,69,3.645849
-29.92,23,3.66948
-29.52,33,3.678239
-30.13,9,3.678239
-30.01,32,3.683321
-29.87,13,3.727368
-29.48,24,3.739485
-29.26,51,3.761687
-29.64,45,3.790856
-29.78,34,3.810746
-29.77,38,3.814993
-30.01,2,3.819237
-29.88,24,3.854928
-29.9,36,3.878674
-29.97,23,3.883582
-29.66,42,3.892498
-29.039999,115,3.892498
-29.85,11,3.900246
-30.09,10,3.918188
-29.82,68,3.941623
-29.53,29,3.997646
-28.96,49,4.006172
-29.17,53,4.017508
-29.45,36,4.017508
-29.65,31,4.034026
-29.94,20,4.082968
-29.25,51,4.082968
-30.08,19,4.092083
-30.01,2,4.092083
-29.55,31,4.117338
-29.61,17,4.160045
-29.62,33,4.164289
-30.01,2,4.169188
-29.9,6,4.191206
-28.9,69,4.21524
-28.92,48,4.21524
-30.1,36,4.241878
-29.75,16,4.247417
-30.07,3,4.261158
-30.04,20,40.227153
-29.81,17,40.236214
-17.27,44,40.236214
-30.19,15,40.245022
-29.48,29,40.245022
-29.08,54,40.249459
-29.95,21,40.309015
-28.369999,124,40.321324
-29.53,24,40.337275
-29.78,27,40.348945
-29.67,53,40.356611
-29.97,33,40.364238
-30.06,2,40.364238
-29.86,12,40.369236
-29.86,22,40.393841
-30.06,2,40.400943
-17.83,25,40.459606
-29.29,57,40.464607
-49.93,35,40.469606
-17.740004,26,40.497903
-29.68,39,40.50999
-29.539999,45,40.518174
-29.97,74,40.518174
-29.4,46,40.537675
-30.14,20,40.545676
-30.03,4,40.552824
-30.06,27,40.567253
-29.84,35,40.592108
-4.449999,29,40.606453
-29.93,4,40.606453
-29.87,18,40.61116
-30.07,3,40.61893
-29.91,17,40.630099
-29.86,22,40.635101
-29.74,15,40.664072
-29.3,42,40.675982
-30.17,8,40.695159
-29.039999,50,40.699182
-30.05,21,40.710714
-30.04,5,40.719442
-29.43,35,40.742236
-29.82,38,40.75809
-30.0,1,40.762124
-30.19,20,40.766516
-29.98,9,40.773304
-29.9,6,40.78336
-29.76,42,40.78738
-29.43,24,40.801297
-29.95,6,40.809177
-28.13,80,40.81338
-30.12,13,40.81338
-30.08,4,40.827745
-29.85,11,40.842647
-29.66,38,40.846866
-30.09,10,40.851527
-17.570004,29,40.880817
-29.95,32,40.902278
-29.8,21,40.927502
-30.07,13,40.932896
-30.24,70,40.937178
-29.49,30,40.944769
-29.88,9,40.962947
-29.81,17,40.97078
-29.47,48,40.993565
-17.1,47,41.026247
-29.96,27,41.069937
-29.92,24,41.09219
-29.77,18,41.100453
-29.36,47,41.126393
-29.32,47,41.135811
-29.87,18,41.149982
-17.810001,13,41.159011
-29.67,78,41.170126
-17.18,57,41.170627
-30.06,2,41.170627
-29.67,18,41.237132
-29.75,26,41.261151
-17.990002,6,41.289991
-29.98,14,41.303696
-29.68,34,41.332815
-28.789999,85,41.349962
-29.37,43,41.373269
-17.300001,32,41.440857
-29.84,20,41.445854
-28.43,81,41.509608
-29.92,38,41.509608
-29.68,30,41.515038
-30.02,8,41.548674
-29.79,55,41.563776
-29.73,24,41.623008
-29.75,21,41.645151
-30.03,4,41.662513
-29.51,37,41.682808
-30.01,2,41.690398
-30.05,6,41.717055
-28.57,70,41.754404
-29.84,10,41.759799
-17.9,47,41.767998
-29.76,27,41.77845
-29.439999,75,41.784099
-28.84,134,41.788906
-28.16,161,41.832818
-29.6,50,41.842665
-29.48,26,41.898062
-29.77,33,41.911238
-29.39,35,41.916271
-29.75,31,41.931026
-30.07,23,41.941569
-29.85,11,41.964326
-29.84,15,41.968796
-29.93,4,41.983314
-29.77,33,41.997898
-29.93,19,42.021294
-17.25,57,42.03613
-29.64,15,42.04107
-30.04,5,42.047604
-30.01,2,42.053679
-30.02,3,42.064579
-29.7,16,42.079593
-29.95,41,42.117942
-29.75,36,42.159903
-29.71,81,42.170079
-29.45,51,42.188244
-29.27,46,42.263099
-4.449999,35,42.314335
-29.539999,58,42.335199
-28.85,71,42.35848
-29.71,57,42.366755
-29.39,50,75.853859
-30.06,22,75.868129
-30.0,16,75.881918
-29.24,66,75.900479
-30.02,58,75.970683
-28.759998,111,76.011119
-30.03,49,76.03986
-29.35,44,76.055273
-30.01,42,76.091948
-29.27,52,76.105564
-30.01,17,76.119657
-29.86,7,76.124372
-49.47,34,76.130789
-30.08,9,76.151699
-28.779999,83,76.171296
-30.0,11,76.205332
-29.38,69,76.205332
-30.42,36,76.229748
-29.69,40,76.313992
-30.03,9,76.355201
-29.64,50,76.355201
-29.77,38,76.37887
-28.65,80,76.389719
-28.99,70,76.459513
-28.83,60,76.481775
-30.16,22,76.490782
-29.98,4,76.512346
-16.85001,73,76.512346
-28.72,72,76.566287
-30.98,49,76.597467
-29.279999,49,76.597467
-17.43,30,76.617005
-29.98,22,76.633959
-29.93,19,76.698896
-28.65,65,76.70789
-29.74,30,76.75347
-30.05,21,76.800021
-29.65,27,76.837647
-29.28,49,76.857919
-29.8,76,76.867461
-30.22,50,76.878074
-29.85,31,76.900633
-29.74,71,76.92347
-29.83,34,76.959736
-30.01,17,76.980518
-29.58,24,76.99006
-30.01,2,77.000292
-29.49,35,77.005717
-30.05,6,77.031213
-29.74,30,77.067458
-16.130001,124,77.126568
-29.79,35,77.132166
-29.88,34,77.193525
-29.91,42,77.209631
-28.98,84,77.263674
-3.959999,44,77.349627
-28.61,75,77.349689
-29.49,41,77.39858
-29.19,69,77.410084
-29.41,59,77.421657
-29.47,43,77.427453
-17.2,125,77.480735
-29.72,28,77.493432
-29.77,28,77.541442
-29.97,56,77.547428
-29.88,19,77.577486
-29.97,3,77.594991
-30.06,2,77.60573
-29.4,43,77.630651
-29.67,28,77.635996
-30.01,2,77.647499
-30.06,2,77.657823
-29.82,23,77.668271
-17.36,33,77.713848
-29.83,19,77.730994
-30.16,67,77.795483
-29.39,71,77.822081
-27.789999,89,77.856755
-29.91,22,77.893686
-29.88,14,77.920049
-29.78,24,77.936957
-16.840012,51,77.963421
-29.24,45,77.998861
-29.45,56,78.107373
-29.69,20,78.107373
-29.75,36,78.133586
-30.01,2,78.154048
-29.710001,37,78.239743
-29.77,23,78.342984
-29.59,30,78.362109
-29.22,58,78.390121
-29.46,47,78.401212
-29.85,41,78.461209
-29.7,31,78.610565
-30.06,7,78.672548
-29.56,39,78.695179
-30.05,36,78.69618
-29.93,4,78.727675
-29.94,15,117.740776
-29.9,6,117.765915
-28.269999,128,117.800709
-29.369999,58,117.800709
-29.67,33,117.800709
-28.97,125,117.836163
-29.91,22,117.851635
-16.95,82,117.867153
-4.0099983,52,117.901515
-30.03,14,117.921053
-29.099998,117,117.929398
-29.71,41,117.960826
-30.03,9,117.965033
-29.67,34,117.969809
-29.82,33,117.980822
-29.86,25,118.077454
-28.689999,92,118.161527
-29.289999,65,118.223291
-29.13,79,118.295149
-16.560001,103,118.327749
-28.66,104,118.352333
-17.740002,11,118.399935
-16.189999,76,118.40465
-16.06,111,118.435361
-29.98,159,118.455249
-30.1,21,118.494078
-30.15,61,118.554099
-29.14,53,118.623887
-16.740002,96,118.637384
-16.990002,78,118.659652
-48.72999,115,118.659652
-29.09,66,118.713483
-29.13,69,118.748779
-29.199999,65,118.770534
-29.25,52,118.776579
-29.52,38,118.792432
-29.539999,45,118.836128
-29.59,45,118.856982
-29.91,22,118.875804
-30.02,3,118.889982
-29.53,54,118.898493
-17.369999,39,118.966973
-29.92,18,118.981705
-18.07,29,118.991983
-29.25,68,119.024006
-29.91,62,119.063664
-3.369997,68,119.07068
-29.25,56,119.107252
-29.88,9,119.119001
-29.78,19,119.129711
-30.0,1,119.136134
-17.590004,36,119.181471
-17.5,67,119.221777
-29.62,36,119.246009
-29.67,58,119.27375
-30.03,9,119.31379
-18.0,32,119.367241
-29.23,94,119.42214
-29.81,47,119.459004
-29.77,28,119.496428
-18.060001,43,119.509944
-29.22,77,119.532026
-30.04,5,119.532026
-29.019999,98,119.572927
-4.649996,103,119.607979
-29.6,36,119.621973
-29.61,17,119.64852
-29.67,34,119.682271
-29.56,37,119.69522
-29.84,25,119.716647
-29.81,22,119.745875
-29.65,141,119.757739
-30.0,16,119.771897
-30.0,1,119.777806
-28.98,67,119.802223
-29.99,5,119.827595
-30.0,1,119.83286
-29.5,26,119.874034
-29.35,99,119.880033
-29.5,56,119.885322
-30.01,2,119.895425
-29.88,19,119.925545
-29.35,58,119.965436
-4.859997,47,119.991748
-29.84,10,162.86285
-29.66,28,162.87921
-29.36,52,162.961217
-29.75,29,162.961217
-17.11,75,162.973933
-29.79,30,163.082984
-4.529999,52,163.092642
-28.82,88,163.113347
-30.15,81,163.12378
-29.88,29,163.208767
-29.75,21,163.214818
-29.92,28,163.214818
-30.05,6,163.24244
-16.4,92,163.251578
-30.19,35,163.270226
-28.0,73,163.275277
-30.03,4,163.293523
-29.97,23,163.318388
-29.86,7,163.34778
-49.77,29,163.41644
-16.73,108,163.437924
-29.71,45,163.437924
-28.029999,200,163.459908
-29.77,63,163.489345
-17.800003,17,163.489345
-29.36,52,163.564824
-29.48,29,163.581516
-28.94,42,163.614168
-29.539999,45,163.675252
-29.4,51,163.700035
-29.78,49,163.76639
-28.17,97,163.836469
-17.550001,37,163.849257
-4.8499966,43,163.849257
-28.8,68,163.859187
-17.830002,10,163.880754
-16.19001,146,163.880754
-29.75,36,163.912921
-27.660002,161,163.925564
-29.95,21,163.93886
-29.84,30,163.981283
-29.95,6,164.005905
-30.1,46,164.038681
-16.530003,105,164.045274
-29.63,46,164.077752
-29.43,51,164.102999
-30.04,5,164.102999
-29.31,42,164.198666
-17.53,25,164.213875
-29.55,41,164.23228
-29.98,4,164.249023
-29.96,12,164.298384
-29.06,87,164.317777
-17.85,32,164.333462
-30.0,1,164.338287
-28.7,72,164.405261
-29.14,53,164.430407
-17.460001,33,164.468827
-30.0,1,164.473983
-30.0,1,164.478855
-16.79,106,164.499224
-29.09,49,164.518734
-29.7,16,164.548604
-29.5,200,164.783269
-27.570002,200,164.798146
-29.16,71,164.827029
-29.1,95,164.832945
-16.46,98,164.873944
