#{"t_start": 1781293175.7816188, "env_id": "None"}
r,l,t
-29.34,60,68.538405
-30.17,23,68.56503
-16.670002,104,68.568341
-29.76,37,68.587211
-29.45,36,68.622573
-29.79,41,68.635785
-29.77,18,68.635785
-29.91,17,68.635785
-29.48,69,68.661636
-29.84,60,68.672357
-29.47,43,68.703784
-30.0,1,68.708367
-29.77,34,68.719753
-29.66,26,68.735972
-29.84,34,68.766456
-29.95,11,68.776978
-29.93,9,68.810105
-29.47,28,68.814455
-3.829998,62,68.857091
-29.69,40,68.868742
-28.83,57,68.887201
-29.89,20,68.925484
-29.39,40,68.953674
-29.72,28,68.980639
-29.17,68,69.006224
-29.81,17,69.013819
-30.009998,100,69.025651
-29.42,68,69.049964
-29.83,14,69.058613
-29.99,10,69.062977
-30.08,4,69.067497
-29.93,29,69.091651
-29.86,22,69.150881
-29.45,66,69.175549
-29.45,39,69.217203
-29.97,3,69.230992
-29.54,35,69.236137
-29.86,7,69.266821
-29.59,30,69.286844
-27.640001,173,69.301094
-28.75,69,69.357456
-29.26,87,69.382349
-29.52,33,69.420721
-29.8,26,69.420721
-29.7,41,69.420721
-29.09,145,69.457404
-30.07,3,69.470899
-29.26,48,69.509668
-29.37,28,69.516325
-28.68,81,69.55104
-29.62,43,69.624826
-29.55,31,69.656345
-29.24,33,69.705545
-29.49,42,69.715012
-30.1,6,69.742484
-28.93,79,69.794229
-11.039959,94,69.805054
-17.440006,41,69.819771
-29.59,50,69.933268
-28.05,110,69.933268
-29.76,32,69.946213
-29.8,36,69.956867
-30.11,7,69.965142
-29.51,72,69.987391
-2.9500065,66,70.037367
-29.53,29,70.060182
-29.74,25,70.064384
-29.93,4,70.077436
-29.79,25,70.094514
-29.79,25,70.143675
-29.69,20,70.149208
-29.17,59,70.200603
-28.869999,88,70.200603
-29.22,59,70.21847
-27.26,168,70.22997
-30.07,13,70.254252
-29.87,13,70.285124
-4.059992,67,104.928392
-29.69,20,104.936141
-29.56,40,104.936141
-29.43,39,104.978731
-29.77,23,105.015777
-29.08,93,105.03335
-29.67,33,105.046168
-29.09,70,105.057047
-28.42,94,105.084419
-29.98,14,105.096439
-29.59,40,105.157717
-29.19,56,105.177856
-29.5,41,105.181872
-29.6,70,105.185899
-29.86,12,105.233961
-29.12,62,105.291781
-29.7,51,105.291781
-28.84,150,105.297776
-17.710003,33,105.315872
-29.85,41,105.32965
-29.0,64,105.339147
-30.05,6,105.345787
-29.93,4,105.350447
-29.98,14,105.360473
-30.06,12,105.397283
-29.65,26,105.463835
-17.45,37,105.527436
-29.92,41,105.536446
-30.17,103,105.627539
-29.26,77,105.633551
-29.25,59,105.651404
-29.22,80,105.651404
-30.04,10,105.689769
-16.510008,108,105.702682
-29.33,49,105.736376
7.470024,39,105.785125
-29.72,38,105.785125
-29.98,9,105.822865
-29.39,45,105.873964
-29.84,15,105.886343
-29.4,66,105.919661
-16.720005,99,105.934655
-17.04,51,105.947865
-29.57,38,105.947865
-29.92,8,105.957675
-29.26,62,105.962582
-29.62,44,106.073139
-30.09,30,106.086371
-29.82,43,106.126702
-27.82,163,106.146295
-29.07,51,106.171226
-17.900002,7,106.177649
-29.41,67,106.23515
-29.8,21,106.267102
-29.48,34,106.281653
-4.1999874,86,106.310045
-17.360003,43,106.478799
-29.58,44,106.512569
-28.28,144,106.512569
-29.41,97,106.5279
-29.46,102,106.537741
-30.06,2,106.548698
-3.630003,63,106.563442
-3.6699963,92,106.606494
-29.57,35,106.646281
-29.65,26,106.684012
-31.64,99,106.697381
-29.91,42,106.711057
-29.72,44,106.731999
-29.87,18,106.776156
-29.18,59,106.785012
-29.71,29,106.812446
-17.840002,21,106.867666
7.4400024,82,106.917711
-29.46,41,106.9662
-29.84,40,106.987947
-17.050003,72,107.052465
-16.26001,120,144.538054
-29.87,13,144.590818
-28.98,144,144.67246
-48.17,89,144.74368
-30.4,26,144.785163
-29.8,51,144.808519
-16.69,90,144.835964
-28.189999,133,144.844813
-29.97,3,144.849838
-17.5,32,144.88733
-30.0,1,144.892257
-30.15,21,144.933251
-2.829998,128,144.939101
-28.039999,200,144.981816
-29.63,54,145.027667
-30.05,11,145.034743
-15.580007,209,145.232108
-17.67,70,145.248328
-28.199999,99,145.249338
-16.45,84,145.311699
-30.03,69,145.330644
-29.449999,101,145.34029
-29.93,19,145.392558
-29.94,35,145.398681
-28.3,86,145.406956
-30.08,4,145.425029
-29.79,25,145.437335
-29.67,53,145.460305
-29.99,5,145.481375
-29.76,17,145.498255
-29.99,23,145.498255
-29.15,149,145.503967
-29.98,39,145.508453
-29.9,21,145.529677
-30.04,5,145.552774
-17.29,46,145.597044
-30.01,12,145.606037
-29.8,36,145.639874
-30.1,36,145.655677
-28.99,50,145.709725
-30.67,53,145.727921
-29.99,10,145.752259
-29.87,28,145.842991
-16.730007,140,145.842991
-17.06,48,146.044785
-29.339998,135,146.075222
-28.93,117,146.084539
-28.66,82,146.099631
20.480011,61,146.104752
-16.770008,125,146.13081
-29.66,17,146.160757
-29.65,26,146.191767
-28.91,178,146.384683
-16.890005,71,146.399557
-29.449999,81,146.433156
-29.89,10,146.437156
-29.63,104,146.481339
-27.490002,200,146.491392
-29.06,87,146.555156
-29.29,39,146.607507
-29.81,57,146.62863
-29.6,36,146.642305
-29.89,10,146.671827
-29.259998,122,146.67645
-29.51,32,146.692505
-28.69,46,146.692505
-29.87,8,185.577028
-30.04,5,185.584699
-30.01,7,185.610157
-15.760005,160,185.659994
-18.010006,108,185.738101
-28.85,58,185.751285
-29.449999,81,185.776489
-17.440004,71,185.820332
-17.54,31,185.845133
-28.099998,73,185.858768
-29.96,12,185.90026
-2.9399967,107,185.937878
-29.79,30,185.952533
-49.429993,75,186.01259
-29.15,81,186.057279
-17.140007,45,186.10459
-18.3,57,186.135144
-29.94,5,186.153956
-17.240002,77,186.172888
-29.92,33,186.177993
-29.94,10,186.194764
-29.01,112,186.222502
-30.48,200,186.232955
-49.249996,62,186.245845
-28.199999,200,186.396681
-16.73,85,186.455715
-28.95,53,186.455715
-28.699999,57,186.636927
-29.13,104,186.684613
-29.79,55,186.68987
-16.220013,115,186.711069
-28.24,140,186.785427
-16.710003,88,186.826174
-17.11,48,186.905871
-31.25,186,186.954386
-29.85,21,187.032695
-31.66,95,187.063486
-16.150005,108,187.07183
-14.940008,224,187.094318
-28.169998,113,187.139029
-29.74,33,187.201635
-29.47,43,187.255302
-17.480007,45,187.402333
-29.5,71,187.408621
-27.75,145,187.430443
-29.8,16,187.498543
-26.94,200,224.606439
-29.06,102,224.668176
-28.97,58,224.707301
-30.509998,200,224.710586
-29.01,153,224.75766
-27.74,200,224.831326
-31.45,114,224.835537
-29.84,15,224.887002
-30.65,21,224.910681
-29.91,37,225.021681
-17.18,115,225.084426
-27.35,133,225.084426
-30.05,26,225.114067
-27.99,200,225.142484
-18.03,70,225.168136
-29.77,23,225.203139
-29.86,17,225.210291
-30.08,9,225.244624
-29.75,73,225.447502
-27.470001,200,225.451835
-29.189999,200,225.456266
-4.9999886,68,225.464489
-28.689999,191,225.473478
-29.75,21,225.544449
-30.47,38,225.599414
-30.0,1,225.60462
-29.91,17,225.672637
-29.029999,66,225.708262
-28.86,166,225.727849
-17.21,33,225.847527
-29.789999,200,225.852996
-17.220001,49,225.856751
-29.41,115,225.912821
-29.1,186,225.959997
-29.63,39,225.998548
-16.090008,150,226.120735
-28.2,200,226.227513
-16.440016,131,226.369838
-27.8,127,226.458441
-30.0,1,226.462745
-29.49,200,226.483695
-29.86,7,226.493316
5.9800186,147,262.593502
-3.1299858,98,262.629066
-31.16,200,262.650284
-26.160002,200,262.708803
-3.439991,81,262.813179
-28.36,200,262.910269
-28.19,157,262.983861
9.210026,142,263.173023
-28.55,90,263.236464
-27.0,200,263.240978
-27.96,200,263.333281
-28.22,200,263.376298
-28.150002,200,263.467098
-16.07,129,263.476962
-28.939999,90,263.538132
-30.14,200,263.591019
-30.64,110,263.697415
-16.490002,138,263.805386
-17.950008,95,263.86072
-15.940006,99,263.887221
-29.86,27,263.922739
-29.33,64,263.966714
-16.77,65,264.135055
-30.599998,200,264.174153
-29.71,17,264.206424
-28.49,200,264.215691
-27.89,83,264.238685
-28.210001,200,264.377207
-16.160002,124,264.49664
-16.99001,250,300.155226
-2.52001,172,300.168961
-16.390009,121,300.202413
-30.26,137,300.300403
-29.69,200,300.548102
-29.22,200,300.587269
-28.89,200,300.72767
-29.08,144,300.754566
-17.060001,51,300.779353
-27.97,200,300.843822
-16.869999,79,300.927141
-29.02,200,301.031412
-15.940017,216,301.059789
-28.71,70,301.064295
-27.97,200,301.140351
-16.830006,57,301.311449
-27.650002,200,301.560409
-16.830004,122,301.573513
-27.519999,200,301.587003
-16.600002,122,301.652669
-15.530004,151,301.667077
-27.88,200,301.756476
-1.8599815,229,301.797505
-15.280012,132,301.862163
-49.37,44,301.954432
-17.660011,92,301.959522
-16.36,93,301.97667
-2.8499966,143,339.59828
-36.260014,129,339.814483
-15.480015,207,339.859694
-32.14,150,339.917396
-4.0699997,90,339.953326
-48.199997,196,340.000274
-3.4499836,218,340.027602
19.07999,279,340.069412
-28.21,200,340.093475
-4.4400005,36,340.138077
-15.000019,170,340.48251
-15.550004,158,340.527645
-28.96,172,340.548291
-26.470001,200,340.559705
-26.990002,178,340.741204
-28.33,200,340.78811
-28.66,200,340.856864
-2.050003,222,340.999766
-17.16,58,341.241529
-26.89,200,341.318035
-26.95,200,341.361417
-26.400002,200,341.382657
-32.36,200,341.393458
-16.230005,147,341.393458
-27.939999,200,341.574538
-15.990014,109,377.838722
-0.24999619,238,377.869316
9.420025,112,377.885756
-28.59,135,377.902188
-47.849976,169,377.960415
-30.0,1,377.965977
