#{"t_start": 1781355910.9203148, "env_id": "None"}
r,l,t
-30.0,1,2.846411
-30.0,1,2.846411
-29.97,8,2.872147
-29.95,11,2.878733
-30.0,16,2.8953
-29.83,14,2.921066
-17.780005,30,2.944499
-29.52,38,2.972506
-29.94,40,2.980187
-30.04,30,3.002047
-30.09,25,3.037178
-29.99,10,3.042153
-29.27,57,3.046222
-30.07,3,3.055336
-30.06,2,3.055336
-29.89,20,3.060457
-29.16,64,3.079391
-29.98,14,3.116102
-29.68,14,3.139857
-29.75,31,3.171196
-29.77,28,3.176661
-29.88,19,3.222365
-27.919998,94,3.251047
-29.43,54,3.281704
-30.06,12,3.297281
-30.01,52,3.33392
-29.93,14,3.337909
-29.7,41,3.337909
-29.67,32,3.352248
-29.64,45,3.36249
-29.16,96,3.371867
-29.92,8,3.376227
-30.0,6,3.388418
-28.499998,116,3.393139
-29.91,22,3.393139
-29.69,15,3.415362
-17.810001,13,3.427464
-29.96,12,3.462969
-17.400002,32,3.467554
-29.7,31,3.467554
-30.03,4,3.482304
-29.72,23,3.514433
-30.14,15,3.535957
-29.99,20,3.541164
-17.220005,45,3.563438
-29.57,53,3.575748
-29.59,30,3.575748
-30.03,4,3.591111
-30.15,21,3.596348
-29.76,22,3.626249
-30.0,1,3.630241
-30.16,74,3.674163
-29.96,27,3.678975
-29.59,37,3.729102
-4.1399994,51,3.729102
-29.67,38,3.736924
-29.82,28,3.777526
-28.83,109,3.79385
-29.44,25,3.815095
-30.07,23,3.815095
-29.55,41,3.819365
-29.79,55,3.826211
-28.89,72,3.826211
-30.06,7,3.840368
-29.87,33,3.845057
-29.87,8,3.855528
-29.91,12,3.885992
-30.15,21,3.893025
-30.0,24,3.901204
-29.85,36,3.905493
-30.0,1,3.909491
-29.89,25,3.915601
-29.38,39,3.934804
-29.55,34,3.962629
-29.82,28,4.001697
-29.51,37,4.030603
-29.64,35,4.04283
-30.0,1,4.047834
-29.85,6,4.064496
-29.49,55,4.069263
-17.660004,26,4.074734
-29.39,37,4.086444
-29.56,17,4.1199
-29.96,12,4.1199
-28.91,60,4.123978
-30.1,6,4.142715
-30.06,22,4.14972
-29.82,18,4.154482
-29.92,13,4.169425
-29.39,30,4.184914
-29.1,44,4.184914
-17.83,10,4.206465
-30.01,17,4.206465
-29.48,24,4.214072
-30.08,4,4.223043
-29.78,24,4.243716
-29.289999,85,4.247715
-29.89,15,4.268164
-29.82,8,4.272193
-29.89,35,4.279535
-29.78,9,4.279535
-30.02,3,4.289437
-29.95,21,4.297467
-29.98,14,4.327919
-29.76,42,4.336913
-17.53,50,4.364128
-30.17,13,4.374801
-17.75,12,4.380314
-29.92,23,4.380314
