#{"t_start": 1781289633.4535978, "env_id": "None"}
r,l,t
-30.0,1,2.302978
-30.0,1,2.302978
-29.97,8,2.343349
-29.95,11,2.355452
-30.0,16,2.377614
-29.83,14,2.404621
-17.780005,30,2.43125
-29.52,38,2.463238
-29.94,40,2.472022
-30.04,30,2.496586
-30.09,25,2.53244
-29.99,10,2.53742
-29.27,57,2.541744
-30.07,3,2.549463
-30.06,2,2.550459
-29.89,20,2.554925
-29.16,64,2.575359
-29.98,14,2.614035
-29.68,14,2.634974
-29.75,31,2.663903
-29.77,28,2.668101
-29.88,19,2.71195
-27.919998,94,2.737688
-29.43,54,2.76802
-30.06,12,2.783883
-30.01,52,2.816768
-29.93,14,2.821385
-29.7,41,2.821385
-29.67,32,2.832654
-29.64,45,2.840469
-29.16,96,2.848649
-29.92,8,2.852942
-30.0,6,2.865445
-28.499998,116,2.870984
-29.91,22,2.870984
-29.69,15,2.89483
-17.810001,13,2.905867
-29.96,12,2.940895
-17.400002,32,2.945632
-29.7,31,2.945632
-30.03,4,2.961668
-29.72,23,2.996168
-30.14,15,3.018031
-29.99,20,3.022223
-17.220005,45,3.045229
-29.57,53,3.057562
-29.59,30,3.057562
-30.03,4,3.073536
-30.15,21,3.077832
-29.76,22,3.107655
-30.0,1,3.112753
-30.16,74,3.159795
-29.96,27,3.164427
-29.59,37,3.221494
-4.1399994,51,3.221494
-29.67,38,3.232565
-29.82,28,3.276331
-28.83,109,3.295793
-29.44,25,3.317702
-30.07,23,3.317702
-29.55,41,3.322371
-29.79,55,3.329563
-28.89,72,3.329563
-30.06,7,3.344661
-29.87,33,3.348976
-29.87,8,3.361
-29.91,12,3.392968
-30.15,21,3.40064
-30.0,24,3.408523
-29.85,36,3.413809
-30.0,1,3.417574
-29.89,25,3.425291
-29.38,39,3.443158
-29.55,34,3.469683
-29.82,28,3.506971
-29.51,37,3.532725
-29.64,35,3.541246
-30.0,1,3.54628
-29.85,6,3.55623
-29.49,55,3.560527
-17.660004,26,3.564005
-29.39,37,3.575564
-29.56,17,3.609214
-29.96,12,3.609214
-28.91,60,3.615354
-30.1,6,3.63694
-30.06,22,3.647539
-29.82,18,3.653504
-29.92,13,3.672274
-29.39,30,3.690664
-29.1,44,3.690664
-17.83,10,3.718231
-30.01,17,3.718231
-29.48,24,3.728162
-30.08,4,3.738788
-29.78,24,3.766309
-29.289999,85,3.772318
-29.89,15,3.797272
-29.82,8,3.802484
-29.89,35,3.811926
-29.78,9,3.811926
-30.02,3,3.824817
-29.95,21,3.834779
-29.98,14,3.871046
-29.76,42,3.879146
-17.53,50,3.914651
-30.17,13,3.92737
-17.75,12,3.932377
-29.92,23,3.932377
-30.04,5,3.936578
-17.850006,32,3.941197
-29.44,50,3.941197
-29.96,7,3.962038
-29.77,8,3.967193
-17.24,48,4.015087
-30.13,19,4.034734
-29.83,24,4.066228
-29.73,41,4.127896
-29.63,29,4.159838
-29.69,43,4.182442
-29.57,48,4.213172
-17.220001,54,4.315079
-29.83,44,4.334343
-17.330002,45,4.40082
-29.72,23,4.425964
-29.8,16,36.915909
-29.85,16,36.946438
-29.1,73,36.946438
-27.76,127,36.975071
-27.57,110,36.980322
-26.19,155,36.980322
-4.790001,29,37.08114
