#{"t_start": 1781284635.6025443, "env_id": "None"}
r,l,t
-0.9099827,179,9.154166
-15.640001,166,9.159162
-29.99,10,9.204771
-29.65,41,9.269207
-16.71,68,9.334566
-29.64,20,9.346692
-27.279999,200,9.377317
-28.26,182,9.388433
-29.57,53,9.410337
-30.01,17,9.451954
-17.750002,76,9.455545
-29.91,33,9.460522
-17.580002,25,9.471128
-28.59,100,9.47832
-27.87,193,9.489483
-29.77,26,9.567255
-29.42,33,9.571255
-29.78,44,9.604248
-29.81,12,9.60824
-29.85,16,9.625992
-29.31,92,9.670488
-29.07,54,9.670488
-30.0,1,9.674482
-29.69,45,9.7588
-29.58,34,9.795777
-29.3,46,9.837851
-29.24,125,9.853108
-29.21,73,9.884069
-27.8,124,9.895106
-29.16,42,9.952112
-28.5,136,9.952163
-29.369999,98,9.959229
-29.7,21,9.974218
-29.74,40,9.986855
8.220001,67,10.010931
-29.84,20,10.036602
-29.86,17,10.075009
-30.05,26,10.075009
-29.83,34,10.085134
-17.73,30,10.103675
-49.29,61,10.119879
-28.789999,51,10.150088
-29.86,22,10.161094
-30.01,28,10.18314
-30.01,12,10.205101
-29.17,31,10.219134
-29.86,22,10.229745
-29.359999,102,10.237783
-16.89,96,12.894382
-27.949999,90,12.915015
-29.22,53,12.928552
-29.8,66,12.965173
-17.540003,31,13.034372
-17.560003,38,13.098214
-29.32,63,13.11424
-14.6600065,116,13.118161
-30.06,2,13.126365
9.790016,123,13.156855
-29.09,71,13.163854
-29.74,10,13.199051
-30.0,1,13.20392
-29.34,50,13.214654
-46.72998,170,13.228598
-4.960001,45,13.316347
-27.420002,200,13.395836
-28.349998,79,13.395836
-29.25,85,13.402438
-29.43,55,13.422147
-29.94,10,13.457597
-29.13,64,13.607866
-28.619999,98,13.722168
-15.310006,165,13.775465
-28.439999,108,13.816651
-29.95,31,13.8268
-28.199999,200,13.882569
-15.380011,156,13.923111
-15.600009,238,13.936288
-29.4,36,13.946812
-29.6,103,13.953638
-18.119999,189,13.954138
-29.95,6,13.957648
-30.01,7,13.971623
-29.95,56,14.005196
-29.01,57,14.120103
-29.58,59,14.162108
-29.25,66,14.183768
-30.06,2,14.191668
-28.88,82,14.292067
-28.95,138,14.362571
-28.18,174,14.377707
-17.130001,80,14.40216
-29.72,63,14.412225
-18.220009,141,14.447372
-29.58,24,14.486604
-14.020031,152,14.505045
-29.88,34,14.533125
-29.65,64,17.363674
-29.52,23,17.447636
-17.920006,181,17.599165
-28.6,96,17.624074
-16.470005,86,17.638077
-16.30001,140,17.752165
-27.640001,200,17.809393
-29.78,24,17.83777
-16.450022,195,17.876812
-27.689999,172,17.925795
-28.47,84,17.936794
-17.430002,45,18.037302
-27.210001,200,18.192075
-27.300001,200,18.333948
-27.54,200,18.374609
-28.45,153,18.516482
-29.51,200,18.562146
-26.470001,200,18.592586
-23.350002,83,18.665169
-28.43,200,18.684483
-28.93,79,18.68919
-28.33,200,18.81267
-29.91,7,18.846218
9.290031,165,18.85124
-17.99001,141,19.178195
-28.81,127,19.216499
-30.14,102,19.269958
-27.740002,200,21.874086
-28.94,200,21.918552
-26.1,200,22.044121
-16.200006,109,22.174078
-29.3,48,22.220214
-15.370018,215,22.242578
12.220116,265,22.264423
-16.74,178,22.40257
-1.849968,179,22.500008
-16.480015,125,22.747573
-14.360017,250,22.860276
-16.880009,110,22.90133
-27.54,196,22.908052
-27.13,191,22.955958
-27.94,200,22.967688
-16.130014,157,22.978684
-29.98,29,23.010979
-17.570004,34,23.076863
-29.62,66,23.09104
-29.41,47,23.176256
-16.119999,110,23.281805
-29.73,89,23.286226
-29.009998,97,23.302702
37.580154,399,23.3339
-30.1,16,23.338581
-29.37,33,23.427462
-27.490002,200,23.449368
-17.340004,37,23.582296
-29.48,84,23.646025
-17.73,45,26.290026
-25.960001,200,26.333598
-28.48,200,26.347593
-26.730001,200,26.433232
-3.8000069,137,26.464238
-16.500004,58,26.542656
-27.84,200,26.555557
-27.87,200,26.606374
-17.170002,39,26.704069
-4.289995,61,26.779895
-25.850002,200,27.036667
-16.630009,90,27.050215
-17.380005,75,27.067041
-3.3900013,260,27.162151
-27.38,200,27.19268
-14.960012,225,27.197151
-26.890001,200,27.222294
-29.66,57,27.264203
-30.0,11,27.306533
-15.500012,250,27.546722
-16.740005,113,27.608518
-16.960007,92,27.637467
-15.900001,130,27.665001
-16.2,124,27.673668
-17.800003,167,27.766801
-27.890001,200,27.766801
-2.1799889,193,27.766801
-17.91,13,27.813043
-4.1500034,89,27.862015
-29.75,21,27.886412
-30.02,63,27.893951
-49.109985,123,30.859641
-3.8200111,133,30.891738
-27.390001,200,31.012953
-29.69,89,31.176766
-29.779999,189,31.186397
-28.19,200,31.193812
-27.51,200,31.215683
22.350098,300,31.282539
11.5301285,313,31.346619
-16.840004,77,31.424934
9.200005,79,31.457527
-15.410008,203,31.638124
-14.170014,160,31.662955
23.380123,273,31.705496
-27.800001,200,31.803112
-29.83,34,31.812853
-15.860016,136,31.838669
-16.940002,126,31.842232
-27.94,200,31.893438
-26.830002,200,31.96166
-30.0,46,31.991468
-3.6799946,63,32.020785
-29.82,23,32.040498
-4.66,26,32.129838
-27.32,200,32.29075
-15.600002,193,32.294706
-28.320002,200,35.02477
-3.1800022,64,35.067125
-26.61,200,35.12191
-15.340021,176,35.142877
-15.750013,154,35.200047
-13.850035,250,35.228733
-26.060001,200,35.244631
-16.340004,186,35.457304
10.740059,169,35.58347
-15.380018,151,35.621276
-29.92,13,35.665298
-2.9099789,141,35.698044
-27.83,200,35.810452
-14.030029,250,35.913456
-16.360008,250,36.060869
-22.39002,251,36.119274
-28.24,200,36.177418
-29.859999,127,36.274802
-26.95,200,36.303688
-28.4,200,36.379726
-28.599998,200,36.414592
-2.4899902,232,36.732157
-16.31,97,36.749886
-26.380001,200,36.760491
-27.650002,200,39.361392
-28.39,59,39.475782
-28.37,200,39.501612
-29.6,36,39.613368
-36.36998,220,39.661711
-13.500017,250,39.684886
-1.5899715,300,39.72938
-15.760015,116,39.72938
-15.530013,250,40.144602
-13.900009,208,40.192887
21.080093,156,40.219496
-29.14,200,40.453879
-27.29,200,40.453879
-15.320029,240,40.545141
39.659973,368,40.586586
-17.270008,54,40.773399
-28.06,200,40.856987
-14.48001,210,40.932864
24.990192,400,41.022918
-15.720019,240,41.061869
-17.050014,107,43.793386
-30.64,200,43.803582
-27.94,200,43.803582
-2.159998,192,43.876581
-2.1599998,191,44.234143
-49.519997,183,44.452646
-28.259998,200,44.479656
-15.78001,250,44.599053
-26.310001,200,44.647179
-27.79,200,44.656028
-26.210001,200,44.735779
-35.520004,220,44.746122
-4.4199886,115,45.192693
-27.01,200,45.298693
